Fecha de solicitud;Provincia;Prediccion_Numero_Ampliaciones_RF
2025-06-01;BIZKAIA;1
2025-06-01;GIPUZKOA;2
2025-06-01;ASTURIAS;2
2025-06-01;MURCIA;2
2025-06-01;LEON;1
2025-06-08;TOLEDO;4
2025-06-08;CIUDAD REAL;2
2025-06-08;MADRID;4
2025-06-08;CUENCA;2
2025-06-08;VALLADOLID;1
2025-06-08;SALAMANCA;1
2025-06-08;ALBACETE;1
2025-06-08;GUADALAJARA;1
2025-06-08;PALENCIA;1
2025-06-08;VALENCIA;2
2025-06-08;CASTELLON;2
2025-06-08;AVILA;1
2025-06-08;ALICANTE;2
2025-06-08;BIZKAIA;1
2025-06-08;GIPUZKOA;2
2025-06-08;ASTURIAS;2
2025-06-08;MURCIA;2
2025-06-08;LEON;1
2025-06-15;TOLEDO;4
2025-06-15;CIUDAD REAL;2
2025-06-15;MADRID;4
2025-06-15;CUENCA;2
2025-06-15;VALLADOLID;1
2025-06-15;SALAMANCA;1
2025-06-15;ALBACETE;1
2025-06-15;GUADALAJARA;1
2025-06-15;PALENCIA;1
2025-06-15;VALENCIA;2
2025-06-15;CASTELLON;2
2025-06-15;AVILA;1
2025-06-15;ALICANTE;2
2025-06-15;BIZKAIA;1
2025-06-15;GIPUZKOA;2
2025-06-15;ASTURIAS;2
2025-06-15;MURCIA;2
2025-06-15;LEON;1
2025-06-22;TOLEDO;4
2025-06-22;CIUDAD REAL;2
2025-06-22;MADRID;4
2025-06-22;CUENCA;2
2025-06-22;VALLADOLID;1
2025-06-22;SALAMANCA;1
2025-06-22;ALBACETE;1
2025-06-22;GUADALAJARA;1
2025-06-22;PALENCIA;1
2025-06-22;VALENCIA;2
2025-06-22;CASTELLON;2
2025-06-22;AVILA;1
2025-06-22;ALICANTE;2
2025-06-22;BIZKAIA;1
2025-06-22;GIPUZKOA;2
2025-06-22;ASTURIAS;2
2025-06-22;MURCIA;2
2025-06-22;LEON;1
2025-06-29;TOLEDO;4
2025-06-29;CIUDAD REAL;2
2025-06-29;MADRID;4
2025-06-29;CUENCA;2
2025-06-29;VALLADOLID;1
2025-06-29;SALAMANCA;1
2025-06-29;ALBACETE;1
2025-06-29;GUADALAJARA;1
2025-06-29;PALENCIA;2
2025-06-29;VALENCIA;2
2025-06-29;CASTELLON;2
2025-06-29;AVILA;1
2025-06-29;ALICANTE;2
2025-06-29;BIZKAIA;1
2025-06-29;GIPUZKOA;2
2025-06-29;ASTURIAS;2
2025-06-29;MURCIA;2
2025-06-29;LEON;1
