Fecha de solicitud;Numero_Ampliaciones;Año;Semana_del_Año;Semana_Año;Provincia_ID;Provincia_A CORUÑA;Provincia_ALAVA;Provincia_ALBACETE;Provincia_ALICANTE;Provincia_ALMERIA;Provincia_ASTURIAS;Provincia_AVILA;Provincia_BADAJOZ;Provincia_BARCELONA;Provincia_BIZKAIA;Provincia_BURGOS;Provincia_CACERES;Provincia_CADIZ;Provincia_CASTELLON;Provincia_CIUDAD REAL;Provincia_CORDOBA;Provincia_CUENCA;Provincia_GIPUZKOA;Provincia_GIRONA;Provincia_GRANADA;Provincia_GUADALAJARA;Provincia_HUELVA;Provincia_HUESCA;Provincia_JAEN;Provincia_LA RIOJA;Provincia_LEON;Provincia_LLEIDA;Provincia_LUGO;Provincia_MADRID;Provincia_MALAGA;Provincia_MURCIA;Provincia_NAVARRA;Provincia_OURENSE;Provincia_PALENCIA;Provincia_PONTEVEDRA;Provincia_SALAMANCA;Provincia_SEGOVIA;Provincia_SEVILLA;Provincia_SORIA;Provincia_TARRAGONA;Provincia_TERUEL;Provincia_TOLEDO;Provincia_VALENCIA;Provincia_VALLADOLID;Provincia_ZAMORA;Provincia_ZARAGOZA;Numero_Ampliaciones_L1;Numero_Ampliaciones_L4;Numero_Ampliaciones_L52
2020-07-26;5;2020;30;2020-W30;28;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;5,0;4,0;8,0
2020-07-26;9;2020;30;2020-W30;41;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;6,0;6,0;8,0
2020-08-02;4;2020;31;2020-W31;14;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;3,0;1,0;4,0
2020-08-02;5;2020;31;2020-W31;28;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;5,0;2,0;14,0
2020-08-02;10;2020;31;2020-W31;41;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;9,0;4,0;6,0
2020-08-09;5;2020;32;2020-W32;14;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;4,0;7,0;8,0
2020-08-09;2;2020;32;2020-W32;28;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;5,0;14,0;9,0
2020-08-09;7;2020;32;2020-W32;41;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;10,0;5,0;7,0
2020-08-16;4;2020;33;2020-W33;14;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;5,0;2,0;6,0
2020-08-16;7;2020;33;2020-W33;28;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2,0;5,0;13,0
2020-08-16;7;2020;33;2020-W33;41;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;7,0;6,0;9,0
