fecha,pred,lower,upper
2024-07-07,17.800068500190946,-1.7004994488912892,37.300636449273185
2024-07-14,12.472588502749982,-10.86506899131616,35.81024599681612
2024-07-21,5.995837075581136,-20.193562468524313,32.185236619686584
2024-07-28,8.31523358944414,-20.444311520207865,37.07477869909614
2024-08-04,12.383114634189065,-18.735003385229597,43.50123265360772
2024-08-11,10.370634315884036,-22.93947047260539,43.68073910437346
2024-08-18,11.687311794049066,-23.679182117771802,47.053805705869934
2024-08-25,13.12464583026175,-24.185067411345265,50.43435907186876
2024-09-01,17.63570987458739,-21.52090531014276,56.79232505931754
2024-09-08,15.528651127257266,-25.391592313844964,56.44889456835949
2024-09-15,15.4325345697582,-27.178404563674388,58.043473703190784
2024-09-22,21.032815562774125,-23.20424971496694,65.26988084051519
2024-09-29,18.44222428541157,-27.363274892538136,64.24772346336127
2024-10-06,23.573111970038752,-23.748865646024363,70.89508958610188
2024-10-13,24.677357877132838,-24.113987421487547,73.46870317575322
2024-10-20,15.560899040438041,-34.65683872823523,65.7786368091113
2024-10-27,14.494086872692876,-37.110631876247716,66.09880562163346
2024-11-03,9.11713355109054,-43.838251517014555,62.072518619195634
2024-11-10,21.455344976705078,-32.817103081820115,75.72779303523026
2024-11-17,26.293149397516892,-29.265148171967205,81.85144696700098
2024-11-24,17.264897236073327,-39.55015569335171,74.07995016549837
2024-12-01,19.54025037376096,-38.50435359531956,77.58485434284147
2024-12-08,17.755864008424165,-41.49278036831599,77.00450838516433
2024-12-15,12.455136762902487,-47.97356230496719,72.88383583077217
2024-12-22,16.717995201340564,-44.86815162966287,78.304142032344
2024-12-29,14.939010922549286,-47.78322700357399,77.66124884867256
2025-01-05,18.918949791137695,-44.918850782071985,82.75675036434737
2025-01-12,20.725134545839722,-44.19512845680626,85.6453975484857
2025-01-19,21.454026446254144,-44.509462519577795,87.41751541208609
2025-01-26,24.289455770010633,-42.70085904513408,91.27977058515535
2025-02-02,29.506036467136532,-38.49505776119147,97.50713069546453
2025-02-09,28.313090329727476,-40.68446467773495,97.3106453371899
2025-02-16,32.972038391233276,-37.00784101019696,102.95191779266352
2025-02-23,32.97924768149987,-37.96935731399536,103.9278526769951
2025-03-02,30.76329062900432,-41.14099011557114,102.66757137357978
2025-03-09,31.167978998258338,-41.67944119065491,104.01539918717158
2025-03-16,20.700719595337112,-53.077784502926896,94.47922369360111
2025-03-23,19.211686924531875,-55.48629635330076,93.90967020236451
2025-03-30,17.07756930868577,-58.528711809837645,92.68385042720918
2025-04-06,22.148171579498815,-54.355624296072044,98.65196745506967
2025-04-13,23.735005278458335,-53.65589743089659,101.12590798781325
2025-04-20,21.9708181013671,-56.29713741662674,100.23877361936094
2025-04-27,25.608139862381208,-53.5271487247244,104.74342844948681
2025-05-04,20.909022086975583,-59.08419599157351,100.90224016552467
2025-05-11,24.889943110012947,-55.95210026693401,105.73198648695991
2025-05-18,18.19082059382635,-63.49122771642803,99.87286890408072
2025-05-25,19.683448767718488,-62.83005349089727,102.19695102633425
2025-06-01,18.387357566367903,-64.94930359913755,101.72401873187334
2025-06-08,13.244169926774134,-70.90759863398624,97.39593848753451
2025-06-15,21.896421949152327,-63.062635402433486,106.85547930073814
2025-06-22,22.633983017605352,-63.124845864520886,108.39281189973158
2025-06-29,15.5375627763719,-71.01414644507969,102.08927199782349
