fecha,pred,lower,upper
2024-07-07,13.004084812020533,-10.27012430943832,36.27829393347939
2024-07-14,15.160045071935713,-9.837884724251971,40.1579748681234
2024-07-21,10.25258278232171,-17.806513414132493,38.311678978775916
2024-07-28,13.571079027905153,-15.689030647274116,42.83118870308442
2024-08-04,14.414539837712649,-16.446654615763723,45.275734291189025
2024-08-11,10.542364819553024,-22.632582114198044,43.71731175330409
2024-08-18,13.928430504212898,-20.267136298047333,48.12399730647313
2024-08-25,13.773016135300658,-21.948378131944125,49.49441040254544
2024-09-01,10.908583597181863,-26.65636526861277,48.47353246297649
2024-09-08,14.110972068362013,-24.3851885316521,52.607132668376124
2024-09-15,13.250024724608457,-26.702143777629104,53.20219322684602
2024-09-22,11.304501725261916,-30.168807328930427,52.777810779454256
2024-09-29,14.155662330412767,-28.20474045177268,56.51606511259821
2024-10-06,12.847872693722076,-30.894384279651142,56.59012966709529
2024-10-13,11.694572825197689,-33.33919489319222,56.7283405435876
2024-10-20,14.098450459038713,-31.80195464067224,59.99885555874967
2024-10-27,12.559930339869798,-34.64340286868436,59.76326354842395
2024-11-03,12.053711202777443,-36.27470767130504,60.38213007685992
2024-11-10,13.972097446105694,-35.21422360664041,63.158418498851795
2024-11-17,12.373614823186092,-38.03446046596025,62.78169011233244
2024-11-24,12.366051099923174,-39.04556404618687,63.77766624603322
2024-12-01,13.804832525680968,-38.460554061575664,66.07021911293761
2024-12-08,12.27293753103186,-41.133886714435626,65.67976177649935
2024-12-15,12.623425034362269,-41.697915761853686,66.94476583057822
2024-12-22,13.619700499529662,-41.5515954905829,68.79099648964223
2024-12-29,12.240563996807635,-43.99542448397654,68.47655247759181
2025-01-05,12.82374504113033,-44.26149165550122,69.90898173776188
2025-01-12,13.434449180725123,-44.49480161355109,71.36369997500134
2025-01-19,12.259383110415472,-46.66336450685648,71.18213072768742
2025-01-26,12.96942526563681,-46.75463692053158,72.6934874518052
2025-02-02,13.261811814508617,-47.29703507596072,73.82065870497796
2025-02-09,12.31361692033099,-49.174281515501576,73.80151535616355
2025-02-16,13.065942341094493,-49.187876409547584,75.31976109173657
2025-02-23,13.110053334564597,-49.96574593600897,76.18585260513817
2025-03-02,12.389524962857772,-51.5581547327946,76.33720465851015
2025-03-09,13.120593246513616,-51.56653083611578,77.80771732914302
2025-03-16,12.983668340223803,-52.50934296044167,78.47667964088927
2025-03-23,12.475769586291939,-53.83922379014472,78.79076296272859
2025-03-30,13.141479909218363,-53.89265882568428,80.175618644121
2025-04-06,12.884140008345666,-54.93712291157142,80.70540292826276
2025-04-13,12.563513166654959,-56.036735327187074,81.16376166049699
2025-04-20,13.136725989997197,-56.16648373417828,82.43993571417268
2025-04-27,12.810690669486878,-57.258981786399815,82.88036312537356
2025-05-04,12.64631642700721,-58.16564251917532,83.45827537318974
2025-05-11,13.113913833223233,-58.387411992046964,84.61523965849344
2025-05-18,12.760974953367453,-59.48504620618509,85.00699611291999
2025-05-25,12.719901119802135,-60.237275122154514,85.67707736175878
2025-06-01,13.079717872446297,-60.55472484408453,86.71416058897712
2025-06-08,12.731684239876065,-61.625308005511904,87.08867648526403
2025-06-15,12.78183172718985,-62.259977136796536,87.82364059117624
2025-06-22,13.039704024339445,-62.66801200996427,88.74742005864316
2025-06-29,12.719046079949711,-63.689308562973814,89.12740072287323
