ds,yhat,yhat_lower,yhat_upper
2024-07-07,52.10151322266523,28.4610243607877,71.77920797442385
2024-07-14,53.4257734959512,29.963573600481308,74.88086731998985
2024-07-21,52.39740589338417,29.86966348056207,74.8943562856292
2024-07-28,49.92398428893975,27.37079484446752,71.53754002736626
2024-08-04,48.6044316376356,27.15318892383476,69.9732568633362
2024-08-11,50.05831229868486,27.39120423689771,73.38571221699667
2024-08-18,53.293098792635014,31.383905384593618,76.16656031855555
2024-08-25,55.9707376454767,33.916824727061,78.66949598575117
2024-09-01,57.067910359012366,34.19641060647145,77.28590273609733
2024-09-08,57.86478227638613,35.42930090013944,81.60092243041534
2024-09-15,60.21495804971053,39.27895372301074,81.66845470806037
2024-09-22,64.16386625337275,39.945000863206566,86.73321000991479
2024-09-29,67.5832076812552,45.91412397795686,90.57892097621333
2024-10-06,68.10589254477631,47.02717211528033,91.09981540937187
2024-10-13,65.22289586762321,42.27725875838607,87.3847617341749
2024-10-20,60.566723405773914,38.60093511760628,83.7443579003389
2024-10-27,56.52138466729082,34.28932962350729,77.03330347107786
2024-11-03,54.71482806853634,33.004872091511835,77.07417990151563
2024-11-10,55.411832866364776,33.13979843427866,77.6881899413003
2024-11-17,57.624647389889674,35.79779340228959,80.05192758875278
2024-11-24,59.53794204349857,38.3918108157247,82.0551271816795
2024-12-01,59.3664055443744,37.96727895858195,82.16357402898326
2024-12-08,56.635295141234245,34.68604882570407,80.28845993504434
2024-12-15,52.93927674581019,31.72935984274554,75.38963449072534
2024-12-22,51.03022231386467,27.14484588376563,70.60138508127477
2024-12-29,52.5661474203196,29.24168805362127,73.8834529202814
2025-01-05,56.58793776734015,34.70990755426086,78.10194632256666
2025-01-12,60.444768570889295,39.43992270131573,83.3033196951381
2025-01-19,62.37878056750743,41.22818200695561,84.23075466284546
2025-01-26,63.05392311051436,39.83596561782651,86.24973811369814
2025-02-02,64.39001145369069,42.745398196428454,86.63760434063803
2025-02-09,67.08896602330971,45.653530156430826,89.45140242734581
2025-02-16,69.70715025921392,47.149070456917826,90.50228334113586
2025-02-23,70.26692544228453,48.494721960155466,91.52988498342609
2025-03-02,68.42370706409588,47.724151823318536,90.41965945058666
2025-03-09,65.67444104696932,45.20382253857576,90.7530995784747
2025-03-16,63.56822371370976,40.686623809670216,85.51630902404075
2025-03-23,62.246829378204495,39.4445487591209,84.1245315827368
2025-03-30,61.009583875372265,37.97501840200161,82.62822318802219
2025-04-06,59.88568931591623,36.7432340968519,83.03728460155067
2025-04-13,59.92388827697987,36.8365729969247,81.07785360248776
2025-04-20,61.69377335889119,39.50813454184185,81.63751675646363
2025-04-27,63.995336183434745,41.65392552781617,85.883665916798
2025-05-04,64.69436557766554,43.74842038817365,87.2202015914072
2025-05-11,62.939624976431794,40.36830558908692,84.14271844618149
2025-05-18,60.13935787756669,39.40753645359839,82.71569561719294
2025-05-25,58.44939362797741,38.28659083264596,78.69583899495281
